"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Angola","2020","Spices; cloves (whole fruit, cloves and stems), crushed or ground","Import","6440.653","7203.24","Weight in kilograms","7203.24"
"Angola","2020","Spices; nutmeg, neither crushed nor ground","Import","17415.327","14231.883","Weight in kilograms","14231.883"
"Angola","2020","Spices; nutmeg, crushed or ground","Import","20167.059","24692.705","Weight in kilograms","24692.705"
"Angola","2020","Spices; mace, crushed or ground","Import","517.521","437.63","Weight in kilograms","437.63"
"Angola","2020","Spices; cardamoms, neither crushed nor ground","Import","9499.358","3359.89","Weight in kilograms","3359.89"
"Angola","2020","Spices; cardamoms, crushed or ground","Import","749.333","1027.765","Weight in kilograms","1027.765"
"Angola","2020","Spices; coriander seeds, neither crushed nor ground","Export","17.169","148","Weight in kilograms","148"
"Angola","2020","Spices; coriander seeds, neither crushed nor ground","Import","3808.768","8068.35","Weight in kilograms","8068.35"
"Angola","2020","Spices; coriander seeds, crushed or ground","Import","13358.856","14672.372","Weight in kilograms","14672.372"
"Angola","2020","Spices; cumin seeds, neither crushed nor ground","Import","10102.739","","No Quantity",""
"Angola","2020","Spices; cumin seeds, crushed or ground","Import","22271.145","20524.94","Weight in kilograms","20524.94"
"Angola","2020","Spices; seeds of anise, badian, caraway or fennel; juniper berries, neither crushed nor ground","Import","8835.451","10159.22","Weight in kilograms","10159.22"
"Angola","2020","Spices; seeds of anise, badian, caraway or fennel; juniper berries, crushed or ground","Import","4019.336","5719.853","Weight in kilograms","5719.853"
"Angola","2020","Spices; ginger, neither crushed nor ground","Import","101834.528","128540.87","Weight in kilograms","128540.87"
"Angola","2020","Spices; ginger, neither crushed nor ground","Export","20.925","8.05","Weight in kilograms","8.05"
"Angola","2020","Spices; ginger, crushed or ground","Import","23691.776","27369.243","Weight in kilograms","27369.243"
"Angola","2020","Spices; ginger, crushed or ground","Export","51.88","12","Weight in kilograms","12"
"Angola","2020","Spices; saffron","Import","45920.774","","No Quantity",""
"Angola","2020","Spices; turmeric (curcuma)","Import","12913.033","10045.317","Weight in kilograms","10045.317"
"Angola","2020","Spices; mixtures of 2 or more products of different headings","Import","50676.316","28107.483","Weight in kilograms","28107.483"
"Angola","2020","Spices; n.e.c. in heading no. 0910","Export","96.991","152","Weight in kilograms","152"
"Angola","2020","Spices; n.e.c. in heading no. 0910","Import","370118.656","230209.427","Weight in kilograms","230209.427"
"Argentina","2022","Coffee; not roasted or decaffeinated","Import","134272897.39","32207489.81","Weight in kilograms","32207489.81"
"Argentina","2022","Coffee; decaffeinated, not roasted","Import","194047.1","24479","Weight in kilograms","24479"
"Argentina","2022","Coffee; roasted, not decaffeinated","Export","1317179.5","135125.8","Weight in kilograms","135125.8"
"Argentina","2022","Coffee; roasted, not decaffeinated","Import","35167558.49","2258088.5","Weight in kilograms","2258088.5"
"Argentina","2022","Coffee; roasted, decaffeinated","Import","829817.99","33077.87","Weight in kilograms","33077.87"
"Argentina","2022","Coffee; husks and skins, coffee substitutes containing coffee in any proportion","Import","2037.57","50","Weight in kilograms","50"
"Argentina","2022","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Export","62747.77","1949.59","Weight in kilograms","1949.59"
"Argentina","2022","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Import","297125.76","27715.76","Weight in kilograms","27715.76"
"Argentina","2022","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Import","239346.31","41162.96","Weight in kilograms","41162.96"
"Argentina","2022","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Export","786804.04","519220","Weight in kilograms","519220"
"Argentina","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Import","919698.49","58779.54","Weight in kilograms","58779.54"
"Argentina","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Export","169194.12","33827.96","Weight in kilograms","33827.96"
"Argentina","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Export","75480084.24","68361949","Weight in kilograms","68361949"
"Argentina","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Import","1782815.97","533873.13","Weight in kilograms","533873.13"
"Argentina","2022","Mate","Import","32063709.18","19942529","Weight in kilograms","19942529"
"Argentina","2022","Mate","Export","86960951.92","39819407.9","Weight in kilograms","39819407.9"
"Argentina","2022","Spices; pepper (of the genus piper), neither crushed nor ground","Import","8489356.94","1759725.79","Weight in kilograms","1759725.79"
