"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Slovenia","2020","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Import","306932.57","16092.56","Weight in kilograms","16092.56"
"Slovenia","2020","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Export","33127.4","2043.82","Weight in kilograms","2043.82"
"Slovenia","2020","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Import","131769.78","16348.95","Weight in kilograms","16348.95"
"Slovenia","2020","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Export","526.45","23.67","Weight in kilograms","23.67"
"Slovenia","2020","Mate","Export","689.77","65.2","Weight in kilograms","65.2"
"Slovenia","2020","Mate","Import","9715.33","678.047","Weight in kilograms","678.047"
"Slovenia","2020","Spices; pepper (of the genus piper), neither crushed nor ground","Import","477333.07","48853.7","Weight in kilograms","48853.7"
"Slovenia","2020","Spices; pepper (of the genus piper), neither crushed nor ground","Export","2543.39","282.78","Weight in kilograms","282.78"
"Slovenia","2020","Spices; pepper (of the genus piper), crushed or ground","Export","16043.52","2552.86","Weight in kilograms","2552.86"
"Slovenia","2020","Spices; pepper (of the genus piper), crushed or ground","Import","953380.01","138516.16","Weight in kilograms","138516.16"
"Slovenia","2020","Spices; fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground","Import","193812.45","26602.54","Weight in kilograms","26602.54"
"Slovenia","2020","Spices; fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground","Export","82884.16","10336.513","Weight in kilograms","10336.513"
"Slovenia","2020","Spices; fruits of the genus Capsicum or Pimenta, crushed or ground","Import","1072027.01","209546.44","Weight in kilograms","209546.44"
"Slovenia","2020","Spices; fruits of the genus Capsicum or Pimenta, crushed or ground","Export","16687.86","2689.6","Weight in kilograms","2689.6"
"Slovenia","2020","Spices; vanilla, neither crushed nor ground","Import","336535.2","2076.44","Weight in kilograms","2076.44"
"Slovenia","2020","Spices; vanilla, crushed or ground","Import","129480.58","900.011","Weight in kilograms","900.011"
"Slovenia","2020","Spices; cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","114145.66","4941.3","Weight in kilograms","4941.3"
"Slovenia","2020","Spices; cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Export","542.19","37.41","Weight in kilograms","37.41"
"Slovenia","2020","Spices; cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Export","1081.65","81.22","Weight in kilograms","81.22"
"Slovenia","2020","Spices; cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","13805.82","1096.04","Weight in kilograms","1096.04"
"Slovenia","2020","Spices; cinnamon and cinnamon-tree flowers, crushed or ground","Export","16589.34","1140.7","Weight in kilograms","1140.7"
"Slovenia","2020","Spices; cinnamon and cinnamon-tree flowers, crushed or ground","Import","384000.38","44416.02","Weight in kilograms","44416.02"
"Slovenia","2020","Spices; cloves (whole fruit, cloves and stems), neither crushed nor ground","Export","16.21","0.36","Weight in kilograms","0.36"
"Slovenia","2020","Spices; cloves (whole fruit, cloves and stems), neither crushed nor ground","Import","98119.98","4078.6","Weight in kilograms","4078.6"
"Slovenia","2020","Spices; cloves (whole fruit, cloves and stems), crushed or ground","Import","16094.57","1197.438","Weight in kilograms","1197.438"
"Slovenia","2020","Spices; cloves (whole fruit, cloves and stems), crushed or ground","Export","88.35","5.401","Weight in kilograms","5.401"
"Slovenia","2020","Spices; nutmeg, neither crushed nor ground","Import","39648.69","836.54","Weight in kilograms","836.54"
"Slovenia","2020","Spices; nutmeg, crushed or ground","Export","1326.93","55.13","Weight in kilograms","55.13"
"Slovenia","2020","Spices; nutmeg, crushed or ground","Import","123743.07","6203.679","Weight in kilograms","6203.679"
"Slovenia","2020","Spices; mace, neither crushed nor ground","Import","494.67","11","Weight in kilograms","11"
